parcel_id,reference_area_ha,reference_source,reference_method,computed_forest_area_ha,diff_pct,tolerance_percent,outcome,reason
27101:003:0088,0.4049,attribute:mets,reported_m2,412.169381,101695.352186,5.0,comparable,
27101:003:0091,1.4805,geometry,capped_to_land_area,412.169381,27739.877136,5.0,comparable,
27101:003:0092,0.1903,attribute:mets,reported_m2,412.169381,216489.2701,5.0,comparable,
27101:003:0093,10.4565,attribute:mets,reported_m2,412.169381,3841.752795,5.0,comparable,
27101:003:0095,0.4913,geometry,capped_to_land_area,412.169381,83793.62528,5.0,comparable,
27101:003:0096,20.7407,attribute:mets,reported_m2,412.169381,1887.249133,5.0,comparable,
27101:003:0097,9.6258,attribute:mets,reported_m2,412.169381,4181.923383,5.0,comparable,
27101:003:0099,26.2638,attribute:mets,reported_m2,412.169381,1469.344044,5.0,comparable,
27101:003:0101,23.0958,geometry,capped_to_land_area,412.169381,1684.607509,5.0,comparable,
27101:003:0102,11.3952,attribute:mets,reported_m2,412.169381,3517.043852,5.0,comparable,
27101:003:0104,0.0498,attribute:mets,reported_m2,412.169381,827549.359438,5.0,comparable,
27101:003:0105,1.2288,geometry,capped_to_land_area,412.169381,33442.430094,5.0,comparable,
27101:003:0106,0.103975,geometry,geodesic_wgs84_pyproj,412.169381,396312.003847,5.0,comparable,
27101:003:0108,0.9614,geometry,capped_to_land_area,412.169381,42771.789162,5.0,comparable,
27101:003:0109,0.603,geometry,capped_to_land_area,412.169381,68253.131177,5.0,comparable,
27101:003:0110,0.0674,geometry,capped_to_land_area,412.169381,611427.271513,5.0,comparable,
27101:003:0111,1.786,attribute:mets,reported_m2,412.169381,22977.792889,5.0,comparable,
27101:003:0112,3.0399,attribute:mets,reported_m2,412.169381,13458.649331,5.0,comparable,
27101:003:0113,0.8108,geometry,capped_to_land_area,412.169381,50734.901455,5.0,comparable,
27101:003:0114,1.8123,geometry,capped_to_land_area,412.169381,22642.889202,5.0,comparable,
27101:003:0115,4.5389,geometry,capped_to_land_area,412.169381,8980.820926,5.0,comparable,
27101:003:0116,0.338699,geometry,geodesic_wgs84_pyproj,412.169381,121591.939155,5.0,comparable,
27101:003:0117,0.288589,geometry,geodesic_wgs84_pyproj,412.169381,142722.27701,5.0,comparable,
27101:003:0118,0.6823,attribute:mets,reported_m2,412.169381,60308.820314,5.0,comparable,
27101:003:0119,0.1892,geometry,capped_to_land_area,412.169381,217748.510042,5.0,comparable,
27101:003:0120,5.112,attribute:mets,reported_m2,412.169381,7962.781318,5.0,comparable,
27101:003:0125,0.8727,attribute:mets,reported_m2,412.169381,47129.217486,5.0,comparable,
27101:003:0126,1.1539,attribute:mets,reported_m2,412.169381,35619.679435,5.0,comparable,
27101:003:0127,0.5378,attribute:mets,reported_m2,412.169381,76539.899777,5.0,comparable,
27101:003:0128,0.4398,geometry,capped_to_land_area,412.169381,93617.458163,5.0,comparable,
27101:003:0129,2.1175,attribute:mets,reported_m2,412.169381,19364.905832,5.0,comparable,
27101:003:0130,8.2928,attribute:mets,reported_m2,412.169381,4870.207662,5.0,comparable,
27101:003:0131,0.6327,attribute:mets,reported_m2,412.169381,65044.520468,5.0,comparable,
27101:003:0132,20.1397,attribute:mets,reported_m2,412.169381,1946.551741,5.0,comparable,
27101:003:0133,1.0505,attribute:mets,reported_m2,412.169381,39135.54317,5.0,comparable,
27101:003:0134,34.0162,attribute:mets,reported_m2,412.169381,1111.685553,5.0,comparable,
27101:003:0137,0.4088,geometry,capped_to_land_area,412.169381,100724.212573,5.0,comparable,
27101:003:0138,0.1546,geometry,capped_to_land_area,412.169381,266503.739327,5.0,comparable,
27101:003:0139,13.6616,attribute:mets,reported_m2,412.169381,2916.992014,5.0,comparable,
27101:003:0140,0.8049,attribute:mets,reported_m2,412.169381,51107.526525,5.0,comparable,
27101:003:0141,2.3942,attribute:mets,reported_m2,412.169381,17115.327917,5.0,comparable,
27101:003:0142,4.2735,attribute:mets,reported_m2,412.169381,9544.77316,5.0,comparable,
27101:003:0143,0.9355,geometry,capped_to_land_area,412.169381,43958.725922,5.0,comparable,
27101:003:0145,29.5479,attribute:mets,reported_m2,412.169381,1294.919372,5.0,comparable,
27101:003:0146,0.3499,attribute:mets,reported_m2,412.169381,117696.336382,5.0,comparable,
27101:003:0147,1.2769,geometry,capped_to_land_area,412.169381,32178.908372,5.0,comparable,
27101:003:0148,0.087,attribute:mets,reported_m2,412.169381,473657.909195,5.0,comparable,
27101:003:0149,0.5129,attribute:mets,reported_m2,412.169381,80260.573406,5.0,comparable,
27101:003:0150,12.1145,geometry,capped_to_land_area,412.169381,3302.281407,5.0,comparable,
27101:003:0151,2.205,attribute:mets,reported_m2,412.169381,18592.488934,5.0,comparable,
27101:003:0152,0.007,attribute:mets,reported_m2,412.169381,5888034.014286,5.0,comparable,
27101:003:0153,1.0351,geometry,capped_to_land_area,412.169381,39719.281325,5.0,comparable,
27101:003:0154,1.4348,geometry,capped_to_land_area,412.169381,28626.608656,5.0,comparable,
27101:003:0155,0.9242,geometry,capped_to_land_area,412.169381,44497.422744,5.0,comparable,
27101:003:0156,0.2155,attribute:mets,reported_m2,412.169381,191161.893735,5.0,comparable,
27101:003:0157,10.7487,attribute:mets,reported_m2,412.169381,3734.597496,5.0,comparable,
27101:003:0158,0.0342,attribute:mets,reported_m2,412.169381,1205073.628655,5.0,comparable,
27101:003:0159,1.6777,geometry,capped_to_land_area,412.169381,24467.525839,5.0,comparable,
27101:003:0160,0.1634,attribute:mets,reported_m2,412.169381,252145.643207,5.0,comparable,
27101:003:0161,0.0131,attribute:mets,reported_m2,412.169381,3146231.152672,5.0,comparable,
27101:003:0162,0.1134,geometry,capped_to_land_area,412.169381,363365.06261,5.0,comparable,
27101:003:0163,0.2498,geometry,capped_to_land_area,412.169381,164899.752202,5.0,comparable,
27101:003:0165,5.4872,attribute:mets,reported_m2,412.169381,7411.469985,5.0,comparable,
27101:003:0166,9.7783,attribute:mets,reported_m2,412.169381,4115.143542,5.0,comparable,
27101:003:0167,0.2387,geometry,capped_to_land_area,412.169381,172572.551739,5.0,comparable,
27101:003:0168,1.1252,geometry,capped_to_land_area,412.169381,36530.766175,5.0,comparable,
27101:003:0169,8.4602,geometry,capped_to_land_area,412.169381,4771.863325,5.0,comparable,
27101:003:0170,7.3742,attribute:mets,reported_m2,412.169381,5489.343671,5.0,comparable,
27101:003:0171,4.7515,attribute:mets,reported_m2,412.169381,8574.510807,5.0,comparable,
27101:003:0172,5.6478,attribute:mets,reported_m2,412.169381,7197.874942,5.0,comparable,
27101:003:0173,2.1487,geometry,capped_to_land_area,412.169381,19082.267464,5.0,comparable,
27101:003:0176,45.2479,geometry,capped_to_land_area,412.169381,810.913835,5.0,comparable,
27101:003:0177,3.4321,geometry,capped_to_land_area,412.169381,11909.247429,5.0,comparable,
27101:003:0178,28.4454,attribute:mets,reported_m2,412.169381,1348.984303,5.0,comparable,
27101:003:0181,0.4855,geometry,capped_to_land_area,412.169381,84795.856025,5.0,comparable,
27101:003:0182,0.2,attribute:mets,reported_m2,412.169381,205984.6905,5.0,comparable,
27101:003:0184,3.9013,attribute:mets,reported_m2,412.169381,10464.924025,5.0,comparable,
27101:003:0185,0.3551,geometry,capped_to_land_area,412.169381,115971.35483,5.0,comparable,
27101:003:0190,0.8361,geometry,capped_to_land_area,412.169381,49196.660806,5.0,comparable,
27101:003:0193,1.0652,geometry,capped_to_land_area,412.169381,38594.083834,5.0,comparable,
27101:003:0194,6.3071,geometry,capped_to_land_area,412.169381,6435.006279,5.0,comparable,
27101:003:0195,10.3033,geometry,capped_to_land_area,412.169381,3900.362806,5.0,comparable,
27101:003:0196,4.0453,attribute:mets,reported_m2,412.169381,10088.845846,5.0,comparable,
27101:003:0200,9.3865,geometry,capped_to_land_area,412.169381,4291.086997,5.0,comparable,
