parcel_id,reference_area_ha,reference_source,reference_method,computed_forest_area_ha,diff_pct,tolerance_percent,outcome,reason
27101:003:0018,13964.0,attribute:haritav,reported_ha,416.060874,-97.020475,5.0,comparable,
27101:003:0020,4.4114,attribute:mets,reported_m2,416.060874,9331.492814,5.0,comparable,
27101:003:0021,3.9302,attribute:mets,reported_m2,416.060874,10486.251946,5.0,comparable,
27101:003:0022,196701.0,attribute:haritav,reported_ha,416.060874,-99.788481,5.0,comparable,
27101:003:0025,0.0125,attribute:mets,reported_m2,416.060874,3328386.992,5.0,comparable,
27101:003:0029,0.0127,attribute:mets,reported_m2,416.060874,3275969.874016,5.0,comparable,
27101:003:0030,7.173,attribute:mets,reported_m2,416.060874,5700.374655,5.0,comparable,
27101:003:0031,155642.0,attribute:haritav,reported_ha,416.060874,-99.732681,5.0,comparable,
27101:003:0032,0.1506,attribute:mets,reported_m2,416.060874,276168.840637,5.0,comparable,
27101:003:0033,17680.0,attribute:haritav,reported_ha,416.060874,-97.646715,5.0,comparable,
27101:003:0034,8.424,attribute:mets,reported_m2,416.060874,4838.994231,5.0,comparable,
27101:003:0035,5.6963,attribute:mets,reported_m2,416.060874,7204.054808,5.0,comparable,
27101:003:0036,11.9826,attribute:mets,reported_m2,416.060874,3372.208653,5.0,comparable,
27101:003:0037,239072.0,attribute:haritav,reported_ha,416.060874,-99.825968,5.0,comparable,
27101:003:0038,22.1347,attribute:mets,reported_m2,416.060874,1779.677041,5.0,comparable,
27101:003:0039,288342.0,attribute:haritav,reported_ha,416.060874,-99.855706,5.0,comparable,
27101:003:0040,0.1321,attribute:mets,reported_m2,416.060874,314859.026495,5.0,comparable,
27101:003:0041,5.242,attribute:mets,reported_m2,416.060874,7837.063602,5.0,comparable,
27101:003:0042,5.9925,attribute:mets,reported_m2,416.060874,6843.026683,5.0,comparable,
27101:003:0047,0.0131,attribute:mets,reported_m2,416.060874,3175937.206107,5.0,comparable,
27101:003:0048,0.1028,attribute:mets,reported_m2,416.060874,404628.476654,5.0,comparable,
27101:003:0049,9.2804,attribute:mets,reported_m2,416.060874,4383.221348,5.0,comparable,
27101:003:0051,3.0011,attribute:mets,reported_m2,416.060874,13763.612475,5.0,comparable,
27101:003:0052,0.0065,attribute:mets,reported_m2,416.060874,6400836.523077,5.0,comparable,
27101:003:0053,119935.0,attribute:haritav,reported_ha,416.060874,-99.653095,5.0,comparable,
27101:003:0054,1.7582,attribute:mets,reported_m2,416.060874,23564.024229,5.0,comparable,
27101:003:0055,11.4109,attribute:mets,reported_m2,416.060874,3546.170539,5.0,comparable,
27101:003:0057,19.334,attribute:mets,reported_m2,416.060874,2051.964798,5.0,comparable,
27101:003:0058,22.4789,attribute:mets,reported_m2,416.060874,1750.895168,5.0,comparable,
27101:003:0065,30.2171,attribute:mets,reported_m2,416.060874,1276.905375,5.0,comparable,
27101:003:0066,11.7166,attribute:mets,reported_m2,416.060874,3451.037622,5.0,comparable,
27101:003:0067,2.211,attribute:mets,reported_m2,416.060874,18717.769064,5.0,comparable,
27101:003:0068,2.575,attribute:mets,reported_m2,416.060874,16057.703845,5.0,comparable,
27101:003:0069,1.9851,attribute:mets,reported_m2,416.060874,20859.189663,5.0,comparable,
27101:003:0070,2.074,attribute:mets,reported_m2,416.060874,19960.794311,5.0,comparable,
27101:003:0071,1.1039,attribute:mets,reported_m2,416.060874,37590.087327,5.0,comparable,
27101:003:0072,3.4579,attribute:mets,reported_m2,416.060874,11932.183522,5.0,comparable,
27101:003:0073,3.131818,geometry,geodesic_wgs84_pyproj,416.060874,13184.963366,5.0,comparable,
27101:003:0074,66281.0,attribute:haritav,reported_ha,416.060874,-99.372277,5.0,comparable,
27101:003:0075,47119.0,attribute:haritav,reported_ha,416.060874,-99.117,5.0,comparable,
27101:003:0076,219724.0,attribute:haritav,reported_ha,416.060874,-99.810644,5.0,comparable,
27101:003:0078,3.3992,attribute:mets,reported_m2,416.060874,12139.964521,5.0,comparable,
27101:003:0080,0.4011,attribute:mets,reported_m2,416.060874,103629.961107,5.0,comparable,
